produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Pâtes spaghetti courts LUSTUCRU,LUSTUCRU,3073190101250,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-courts-lustucru-3073190101250
Pâtes coquillettes PANZANI,PANZANI,3038350013002,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-panzani-3038350013002
Nouilles à poêler coréennes ultra pimentées Hot chicken NOODLE MASTER,NOODLE MASTER,6976016652691,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-a-poeler-coreennes-ultra-pimentees-hot-chicken-noodle-master-6976016652691
"Nouilles instantanées en soupe coréennes, Ramyeon saveur Kimchi NOODLE MASTER",NOODLE MASTER,6976016652745,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-en-soupe-coreennes-ramyeon-saveur-kimchi-noodle-master-6976016652745
Nouilles instantanées en soupe saveur poulet Teriyaki NOODLE MASTER,NOODLE MASTER,6923744306105,"0,99 €",0.99,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-en-soupe-saveur-poulet-teriyaki-noodle-master-6923744306105
Pâtes torsades BARILLA,BARILLA,8076809512268,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-torsades-barilla-8076809512268
Pâtes spaghetti n°5 BARILLA,BARILLA,8076800195057,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-n05-barilla-8076800195057
Pâtes spaghettoni n°7 BARILLA,BARILLA,8076808150072,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghettoni-n07-barilla-8076808150072
Pâtes capellini n°1 BARILLA,BARILLA,8076800195019,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-capellini-n01-barilla-8076800195019
Pâtes spaghetti PANZANI,PANZANI,3038350015006,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-spaghetti-panzani-3038350015006
Pâtes penne rigate BARILLA,BARILLA,8076802085738,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-penne-rigate-barilla-8076802085738
Pâtes fusilli BARILLA,BARILLA,8076802085981,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-fusilli-barilla-8076802085981
Pâtes coquillettes BARILLA,BARILLA,8076808140325,"1,05 €",1.05,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-barilla-8076808140325
Plat cuisiné soupe de nouille saveur poulet coco Thai YUM YUM,YUM YUM,8852018800019,"1,07 €",1.07,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/plat-cuisine-soupe-de-nouille-saveur-poulet-coco-thai-yum-yum-8852018800019
Pâtes vermicelles bio CARREFOUR BIO,CARREFOUR BIO,3560071252847,"1,09 €",1.09,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-vermicelles-bio-carrefour-bio-3560071252847
Pâtes Coquillettes grandes aux œufs frais plus épaisses LUSTUCRU,LUSTUCRU,3660861021735,"1,09 €",1.09,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-coquillettes-grandes-aux-oeufs-frais-plus-epaisses-lustucru-3660861021735
Pâtes langues d'oiseaux,,8690804204111,"1,09 €",1.09,pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-langues-d-oiseaux-8690804204111
